tb_displayname,log_datetime,log_date,tb_name,PowActNet_max,PowActNet_avg,Reactive_Power_min,Wind_Speed_min,Wind_Speed_max,Wind_Speed_Avg,Produced_Energy,Gea_BeaTem1_max,Gea_BeaTem_avg,Gea_BeaTem2_max,Gea_BeaTem2_avg,Gen_BeaDe_tem_max,Gen_BeaDe_Tem_avg,Gen_BeaNdeTem_max,Gen_BeaNdeTem_avg,Gea_BeaTem3_max,Gea_BeaTem3_ave,Con_LscIgbTemFilMax_max,Con_LscIgbTemFilMax_ave,Con_GscIgbTemFilMax_max,Con_GscIgbTemFilMax_ave,PlcInf_PowCrvVld_min
GGM107,01-12-2024 12:10,01-12-2024,GGM107,423.6653137,262.5553589,-136.9628906,2.834285736,8.75,5.894127846,43.76652145,49.89829636,49.74692154,56.13657761,55.88703918,50.03298569,49.72268295,53.45072937,52.51060867,59.04259109,58.69827652,53,50.60306549,45,41.5777359,3
GGM107,01-12-2024 12:20,01-12-2024,GGM107,329.5354004,132.5791626,-136.0473633,1.291428566,7.510000229,4.839023113,22.11504364,49.63536072,49.375,55.76469803,55.37334442,50.20793915,49.95377731,53.43644714,52.67266083,58.39364243,57.88582993,53,50.13072586,45,40.96669388,3
GGM107,01-12-2024 12:30,01-12-2024,GGM107,498.6475525,336.3241577,-131.1035156,3.977142811,8.590000153,5.959730625,56.02583313,49.63961029,49.44950485,55.47724533,55.22606277,50.0585022,49.70450592,53.617733,52.51099014,58.78862,58.29809189,53,50.82741547,44,41.44138718,3
GGM107,01-12-2024 12:40,01-12-2024,GGM107,544.3540649,308.0353699,-134.765625,2.377142668,9.630000114,6.168301582,51.30500031,49.685009,49.55088043,55.73637772,55.62830734,50.46030426,49.81565094,53.61128616,52.78385162,59.03817368,58.81383896,53,50.62975311,45,41.16127396,3
GGM107,01-12-2024 12:50,01-12-2024,GGM107,525.2475586,277.9148865,-137.1459961,3.451428652,8.010000229,5.760511875,46.34223938,49.70962143,49.56491852,55.7178421,55.64845276,50.33993149,50.00452805,53.97361755,52.94821167,58.93977737,58.68626785,53,50.49175262,45,41.31667328,3
GGM107,01-12-2024 13:00,01-12-2024,GGM107,494.4927979,231.0381012,-136.2304688,2.891428471,8.13999939,5.597980499,38.53843689,49.64280319,49.48745728,55.55418015,55.45445251,50.59340286,50.26530075,54.16664124,53.18437195,58.54360199,58.3114357,53,50.28010178,45,41.22914124,3
GGM107,01-12-2024 13:10,01-12-2024,GGM107,415.0067139,196.8895264,-137.6953125,2.377142668,7.670000076,5.37237215,32.81492233,49.60364914,49.3992691,55.37958145,55.21909714,50.67023468,50.31720734,54.43451691,53.29405594,58.44010544,58.04114151,53,50.3706665,45,41.07899857,3
GGM107,01-12-2024 13:20,01-12-2024,GGM107,455.8712769,265.234314,-135.8642731,1.828571439,9.460000038,6.138857841,44.19822693,49.54297638,49.3925705,55.14334869,55.00111771,50.58043289,50.30304337,54.38181305,53.14152527,58.45477295,57.9535675,53,50.37005997,45,41.23353958,3
GGM107,01-12-2024 13:30,01-12-2024,GGM107,374.8465271,208.3967133,-135.6811523,3.440000057,8.450000763,5.77045536,34.71541595,49.53939819,49.31508255,55.17045593,55.09708786,50.59132004,50.3287468,54.30641937,53.27865982,58.36655045,58.08249283,53,50.23595047,45,41.15807724,3
GGM107,01-12-2024 13:40,01-12-2024,GGM107,309.0635681,174.3117981,-137.878418,2.285714388,7.800000191,5.469725132,29.06649208,49.36342239,49.19926071,54.91302872,54.79465485,50.7452507,50.40994644,54.2968483,53.45748138,57.95738602,57.70247269,53,50.00849533,45,41.04314423,3
